Id,'Question','Answer'
1,'What is the name of the main character in Pokemon?','Ash Ketchum'
2,'What is the name of the school where Ouran High School Host Club is set?','Ouran Academy'
3,'What is the name of the dog in Inuyasha?','Shippo'
4,'What is the name of the magical creature that grants wishes in Dragon Ball Z?','Shenron'
5,'What is the name of the sailor scouts' leader in Sailor Moon?','Sailor Moon'
6,'What is the name of the card game that Yugi plays in Yu-Gi-Oh!?','Duel Monsters'
7,'What is the name of the martial art that Ranma practices in Ranma 1/2?','Anything Goes Martial Arts'
8,'What is the name of the alien race that invades Earth in Parasyte?','Parasites'
9,'What is the name of the detective agency that Conan joins in Detective Conan?','Mouri Detective Agency'
10,'What is the name of the giant robot that Simon pilots in Gurren Lagann?','Lagann'
11,'What is the name of the witch who lives in the forest in Kiki's Delivery Service?','Kiki'
12,'What is the name of the ninja clan that Naruto belongs to in Naruto?','Uzumaki Clan'
13,'What is the name of the school where Assassination Classroom is set?','Kunugigaoka Junior High School'
14,'What is the name of the cat-like creature that accompanies Sakura in Cardcaptor Sakura?','Kero'
15,'What is the name of the game that Sora and Shiro play in No Game No Life?','Chess'
16,'What is the name of the legendary sword that Kirito wields in Sword Art Online?','Elucidator'
17,'What is the name of the academy where Little Witch Academia is set?','Luna Nova Magical Academy'
18,'What is the name of the snack that L loves to eat in Death Note?','Cake'
19,'What is the name of the martial arts tournament that Goku participates in Dragon Ball?','World Martial Arts Tournament'
20,'What is the name of the magical contract that Madoka makes in Puella Magi Madoka Magica?','Soul Gem'
21,'What is the name of the device that allows the characters to transform in Kill la Kill?','Kamui'
22,'What is the name of the sport that Hinata plays in Haikyu!!?','Volleyball'
23,'What is the name of the organization that Lelouch leads in Code Geass?','The Black Knights'
24,'What is the name of the alchemy teacher that Edward and Alphonse study under in Fullmetal Alchemist?','Izumi Curtis'
25,'What is the name of the titan that Eren can transform into in Attack on Titan?','Attack Titan'